Subject,Fold,True Labels,Predicted Labels,Correct,noise_level,participant_id
0,0,Car,Car,True,0,0
0,0,Bike,Bike,True,0,0
0,0,Female,Male,False,0,0
0,0,Car,Car,True,0,0
0,0,Female,Female,True,0,0
0,0,Female,Male,False,0,0
0,0,Bike,Bike,True,0,0
0,0,Female,Female,True,0,0
0,0,Male,Female,False,0,0
0,0,Male,Male,True,0,0
0,0,Female,Female,True,0,0
0,0,Male,Male,True,0,0
0,0,Bike,Bike,True,0,0
0,0,Bike,Bike,True,0,0
0,0,Car,Car,True,0,0
0,0,Car,Car,True,0,0
0,0,Male,Male,True,0,0
0,0,Male,Male,True,0,0
0,0,Bike,Bike,True,0,0
0,0,Car,Car,True,0,0
0,0,Car,Car,True,0,0
0,0,Female,Female,True,0,0
0,0,Bike,Bike,True,0,0
0,0,Male,Male,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Male,Male,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Male,Male,True,0,0
0,1,Female,Female,True,0,0
0,1,Car,Car,True,0,0
0,1,Female,Female,True,0,0
0,1,Car,Car,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Female,Female,True,0,0
0,1,Car,Car,True,0,0
0,1,Male,Female,False,0,0
0,1,Car,Car,True,0,0
0,1,Female,Female,True,0,0
0,1,Female,Male,False,0,0
0,1,Car,Car,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Female,Female,True,0,0
0,1,Bike,Bike,True,0,0
0,1,Male,Female,False,0,0
0,1,Male,Male,True,0,0
0,1,Car,Car,True,0,0
0,1,Male,Male,True,0,0
0,2,Male,Female,False,0,0
0,2,Male,Male,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Female,Female,True,0,0
0,2,Car,Car,True,0,0
0,2,Female,Female,True,0,0
0,2,Male,Male,True,0,0
0,2,Male,Male,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Male,Male,True,0,0
0,2,Car,Car,True,0,0
0,2,Car,Car,True,0,0
0,2,Car,Car,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Bike,Bike,True,0,0
0,2,Car,Car,True,0,0
